date,text
"21 янв, 13:04",Всемирный экономический форум предложили перенести в один из 4 городовВсемирный экономический форум предложили перенести в один из 4 городов
"20 янв, 14:52","Российская «дочка» Google подала иск к кипрской компании на ₽1,2 млрдРоссийская «дочка» Google подала иск к кипрской компании на ₽1,2 млрд"
"20 янв, 14:31",Российский бюджет получил ₽131 млрд от контрсанкционных мерРоссийский бюджет получил ₽131 млрд от контрсанкционных мер
"20 янв, 13:36","Песков заявил, что власти оценивают ситуацию с ростом цен в РоссииПесков заявил, что власти оценивают ситуацию с ростом цен в России"
"20 янв, 05:49",Экономисты предупредили о риске рецессии в Британии из-за пошлин ТрампаЭкономисты предупредили о риске рецессии в Британии из-за пошлин Трампа
"19 янв, 17:22",В МВФ предупредили об угрозе устойчивости мировой экономики из-за ИИВ МВФ предупредили об угрозе устойчивости мировой экономики из-за ИИ
"19 янв, 16:52",Российские власти рассмотрят вопрос снятия запрета на экспорт бензинаРоссийские власти рассмотрят вопрос снятия запрета на экспорт бензина
"19 янв, 16:37",Минпромторг показал новый интерьер импортозамещенного SJ100Минпромторг показал новый интерьер импортозамещенного SJ100
"19 янв, 16:14",Объем экспорта Китая достиг рекордной с 1997 года доли в росте ВВПОбъем экспорта Китая достиг рекордной с 1997 года доли в росте ВВП
"19 янв, 16:11",Минфин оценил расходы бюджета в прошлом годуМинфин оценил расходы бюджета в прошлом году
"19 янв, 16:04",Общее богатство миллиардеров достигло исторического рекорда. ИнфографикаОбщее богатство миллиардеров достигло исторического рекорда. Инфографика
"19 янв, 15:27",Reuters узнал о предложении ЦБ Индии связать цифровые валюты БРИКСReuters узнал о предложении ЦБ Индии связать цифровые валюты БРИКС
"19 янв, 14:56",МВФ снизил прогноз роста ВВП РоссииМВФ снизил прогноз роста ВВП России
"19 янв, 14:25",Приставы передали Лурье ключи от квартиры Долиной. Как развивалось делоПриставы передали Лурье ключи от квартиры Долиной. Как развивалось дело
"19 янв, 12:27",На двух месторождениях в Казахстане приостановили добычуНа двух месторождениях в Казахстане приостановили добычу
"19 янв, 03:00",Последствия «гречневого перепроизводства» в России. ИнфографикаПоследствия «гречневого перепроизводства» в России. Инфографика
"18 янв, 18:23","Инвестиции Китая в «Один пояс, один путь» достигли рекордных $213 млрдИнвестиции Китая в «Один пояс, один путь» достигли рекордных $213 млрд"
"16 янв, 18:21",В Минтрансе усомнились в необходимости унифицировать размер ручной кладиВ Минтрансе усомнились в необходимости унифицировать размер ручной клади
