date,text
"26 янв, 15:52",«Аэрофлот» сообщил об ограничении регистрации из-за сбоя «Аэрофлот» сообщил об ограничении регистрации из-за сбоя
"26 янв, 14:25",Bloomberg узнал о поисках «Норникелем» нового партнера для завода в КитаеBloomberg узнал о поисках «Норникелем» нового партнера для завода в Китае
"26 янв, 13:37",Принадлежащий «Роскосмосу» завод в Челябинской области выставили на торгиПринадлежащий «Роскосмосу» завод в Челябинской области выставили на торги
"26 янв, 12:20",Каменщик обратился в Верховный суд из-за передачи Домодедово государствуКаменщик обратился в Верховный суд из-за передачи Домодедово государству
"26 янв, 12:13",Uniper подала иск к «Газпрому» из-за газа для «Северного потока»Uniper подала иск к «Газпрому» из-за газа для «Северного потока»
"26 янв, 12:11",Из-за холодов запасы газа в Европе упали на 15% ниже обычногоИз-за холодов запасы газа в Европе упали на 15% ниже обычного
"25 янв, 11:32",Продажи антидепрессантов в аптеках выросли в четыре раза за семь летПродажи антидепрессантов в аптеках выросли в четыре раза за семь лет
"24 янв, 00:38",Две европейские авиакомпании приостановили рейсы на Ближний ВостокФото: Zuma\ТАСС
"23 янв, 20:05",Изъятые активы владельца «Кириешек» перешли в управление РСХБИзъятые активы владельца «Кириешек» перешли в управление РСХБ
"23 янв, 20:00",Бакинский метрополитен снизит зависимость от российских поездовБакинский метрополитен снизит зависимость от российских поездов
"23 янв, 15:16",Rheinmetall обозначил новые цели на фоне роста расходов на оборонуRheinmetall обозначил новые цели на фоне роста расходов на оборону
"23 янв, 11:08",Суд удовлетворил иск Амурского ГПЗ к Linde из-за пожаровСуд удовлетворил иск Амурского ГПЗ к Linde из-за пожаров
"22 янв, 22:27",Трамп подал иск против JPMorgan на $5 млрд из-за отказа его обслуживатьТрамп подал иск против JPMorgan на $5 млрд из-за отказа его обслуживать
"22 янв, 17:08",Шереметьево подало заявку на покупку ДомодедовоШереметьево подало заявку на покупку Домодедово
"22 янв, 16:16",Совладелец Внуково заявил о заявке на участие в покупке ДомодедовоСовладелец Внуково заявил о заявке на участие в покупке Домодедово
"22 янв, 15:35","Участник первого аукциона на Домодедово: «Поприкалывались, и хватит»Участник первого аукциона на Домодедово: «Поприкалывались, и хватит»"
"22 янв, 12:54",Продюсер Радио РБК подал заявку на аукцион по продаже Домодедово
"22 янв, 09:19",Шохин призвал начать «подогрев» российской экономикиШохин призвал начать «подогрев» российской экономики
"22 янв, 08:02",«Лента» объявила о ребрендинге OBI«Лента» объявила о ребрендинге OBI
"22 янв, 01:29",Начался прием заявок на участие в новом аукционе по продаже ДомодедовоНачался прием заявок на участие в новом аукционе по продаже Домодедово
"21 янв, 19:27",Путин после жалобы пекарни «Машенька» обратился к министрамПутин после жалобы пекарни «Машенька» обратился к министрам
"21 янв, 15:39",Эксперт оценил привлекательность покупки аэропорта Домодедово
"21 янв, 15:03",Артемьев предложил временно разрешить экспорт бензина и соляркиАртемьев предложил временно разрешить экспорт бензина и солярки
"21 янв, 14:32",ПСБ назвал дату начала приема заявок на новый аукцион по ДомодедовоПСБ назвал дату начала приема заявок на новый аукцион по Домодедово
"21 янв, 13:56",Новый аукцион по Домодедово пройдет с возможным понижением цены до 50%Новый аукцион по Домодедово пройдет с возможным понижением цены до 50%
"20 янв, 21:38",Дерипаска оценил конкурс по Домодедово фразой «Клондайк подморозило»Дерипаска оценил конкурс по Домодедово фразой «Клондайк подморозило»
"20 янв, 21:21",Первая попытка продать Домодедово не удалась. Что важно знатьПервая попытка продать Домодедово не удалась. Что важно знать
"20 янв, 17:57",Reuters сообщил о сокращении экспорта через КТК после аварии в КазахстанеReuters сообщил о сокращении экспорта через КТК после аварии в Казахстане
"20 янв, 16:50",Минпромторг оценил риски дефицита цемента на фоне остановки предприятийМинпромторг оценил риски дефицита цемента на фоне остановки предприятий
"20 янв, 15:03",Шереметьево стало претендентом на аэропорт ДомодедовоШереметьево стало претендентом на аэропорт Домодедово
"20 янв, 14:29",Аукцион по продаже Домодедово не состоялся Аукцион по продаже Домодедово не состоялся
"20 янв, 07:01",Российские компании за год вывели из реестра Бермуд более 40 самолетовРоссийские компании за год вывели из реестра Бермуд более 40 самолетов
"19 янв, 21:51",Маск спросил Ryanair о его цене и запустил опрос о покупкеМаск спросил Ryanair о его цене и запустил опрос о покупке
"19 янв, 19:34",Венгерская MOL назвала срок завершения сделки с «Газпром нефтью» по NISВенгерская MOL назвала срок завершения сделки с «Газпром нефтью» по NIS
"19 янв, 16:57",В Минэнерго Сербии объявили о договоренностях с «Газпромом» по NISВ Минэнерго Сербии объявили о договоренностях с «Газпромом» по NIS
"19 янв, 14:18",Глава Lamoda назвал банковские вклады конкурентами модной розницы
"17 янв, 21:37",Маск через суд потребовал от OpenAI и Microsoft до $134 млрд компенсацииМаск через суд потребовал от OpenAI и Microsoft до $134 млрд компенсации
"16 янв, 13:55",Суд Парижа отменил решение по иску Ахметова к России из-за «лайков» судьиСуд Парижа отменил решение по иску Ахметова к России из-за «лайков» судьи
"16 янв, 13:06",Азербайджан начнет поставлять газ еще в две страны ЕвропыАзербайджан начнет поставлять газ еще в две страны Европы
"16 янв, 09:54",Президент снявшей «Звездные войны» киностудии ушла с поста после 14 летПрезидент снявшей «Звездные войны» киностудии ушла с поста после 14 лет
"16 янв, 04:04",Bloomberg узнал об обращении Paramount за поддержкой к МакронуBloomberg узнал об обращении Paramount за поддержкой к Макрону
"15 янв, 17:46",Сокращение запасов в Китае вызвало рост цен на уголь из РоссииСокращение запасов в Китае вызвало рост цен на уголь из России
"15 янв, 11:22",Суд США отклонил жалобу России по делу ЮКОСа на $50 млрдСуд США отклонил жалобу России по делу ЮКОСа на $50 млрд
"15 янв, 09:21",США ввели 25-процентные пошлины на ряд чипов для ИИСША ввели 25-процентные пошлины на ряд чипов для ИИ
"15 янв, 07:45",ЕС принял решение снизить потолок цены на российскую нефтьЕС принял решение снизить потолок цены на российскую нефть
"15 янв, 00:00",В России больше не осталось ресторанов KFCВ России больше не осталось ресторанов KFC
"14 янв, 23:10",США вновь продлили лицензию на продажу зарубежных активов ЛУКОЙЛа
"14 янв, 19:34",На Кипре нашли тело пропавшего экс-главы «Уралкалия»На Кипре нашли тело пропавшего экс-главы «Уралкалия»
"14 янв, 16:11",«Росатом» заблокировал смену гендиректора управляющей компании «Дело»«Росатом» заблокировал смену гендиректора управляющей компании «Дело»
